list,num_children,toys,Production Manager,quota,week,toys_produced,running_sum_toys_produced,over_under_quota
Nicer than Most,300000000,Squishmallow,Blinky Sparkles,45000000.0,2023-09-04,909149,37015212,Under
Nicer than Most,300000000,Squishmallow,Blinky Sparkles,45000000.0,2023-09-11,2270637,39285849,Under
Nicer than Most,300000000,Squishmallow,Blinky Sparkles,45000000.0,2023-09-18,1565942,40851791,Under
Nicer than Most,300000000,Squishmallow,Blinky Sparkles,45000000.0,2023-09-25,2216342,43068133,Under
Nicer than Most,300000000,Squishmallow,Blinky Sparkles,45000000.0,2023-10-02,781482,43849615,Under
Nicer than Most,300000000,Squishmallow,Blinky Sparkles,45000000.0,2023-10-09,1921448,45771063,Over
Nicer than Most,300000000,Squishmallow,Blinky Sparkles,45000000.0,2023-10-16,1319228,47090291,Over
Nicer than Most,300000000,Squishmallow,Blinky Sparkles,45000000.0,2023-10-23,1825739,48916030,Over
Nicer than Most,300000000,Squishmallow,Blinky Sparkles,45000000.0,2023-10-30,757085,49673115,Over
Nicer than Most,300000000,Squishmallow,Blinky Sparkles,45000000.0,2023-11-06,2056863,51729978,Over
Nicer than Most,300000000,Squishmallow,Blinky Sparkles,45000000.0,2023-11-13,343115,52073093,Over
Nicer than Most,300000000,Squishmallow,Blinky Sparkles,45000000.0,2023-11-20,1110404,53183497,Over
Nicer than Most,300000000,Squishmallow,Blinky Sparkles,45000000.0,2023-11-27,1740885,54924382,Over
Nicer than Most,300000000,Squishmallow,Blinky Sparkles,45000000.0,2023-12-04,877086,55801468,Over
Nicer than Most,300000000,Squishmallow,Blinky Sparkles,45000000.0,2023-12-11,337386,56138854,Over
Nicer than Most,300000000,Squishmallow,Blinky Sparkles,45000000.0,2023-12-18,89661,56228515,Over
Nice,500000000,Teddy Bear,Twinkle Cookie,100000000.0,2023-01-02,4632209,4632209,Under
Nice,500000000,Teddy Bear,Twinkle Cookie,100000000.0,2023-01-09,4730777,9362986,Under
Nice,500000000,Teddy Bear,Twinkle Cookie,100000000.0,2023-01-16,6707,9369693,Under
Nice,500000000,Teddy Bear,Twinkle Cookie,100000000.0,2023-01-23,2128907,11498600,Under
Nice,500000000,Teddy Bear,Twinkle Cookie,100000000.0,2023-01-30,1823670,13322270,Under
Nice,500000000,Teddy Bear,Twinkle Cookie,100000000.0,2023-02-06,2787918,16110188,Under
Nice,500000000,Teddy Bear,Twinkle Cookie,100000000.0,2023-02-13,237262,16347450,Under
Nice,500000000,Teddy Bear,Twinkle Cookie,100000000.0,2023-02-20,146052,16493502,Under
Nice,500000000,Teddy Bear,Twinkle Cookie,100000000.0,2023-02-27,43090,16536592,Under
Nice,500000000,Teddy Bear,Twinkle Cookie,100000000.0,2023-03-06,1173759,17710351,Under
Nice,500000000,Teddy Bear,Twinkle Cookie,100000000.0,2023-03-13,868917,18579268,Under
Nice,500000000,Teddy Bear,Twinkle Cookie,100000000.0,2023-03-20,684082,19263350,Under
Nice,500000000,Teddy Bear,Twinkle Cookie,100000000.0,2023-03-27,851341,20114691,Under
Nice,500000000,Teddy Bear,Twinkle Cookie,100000000.0,2023-04-03,687558,20802249,Under
Nice,500000000,Teddy Bear,Twinkle Cookie,100000000.0,2023-04-10,122430,20924679,Under
Nice,500000000,Teddy Bear,Twinkle Cookie,100000000.0,2023-04-17,3885154,24809833,Under
Nice,500000000,Teddy Bear,Twinkle Cookie,100000000.0,2023-04-24,1897066,26706899,Under
Nice,500000000,Teddy Bear,Twinkle Cookie,100000000.0,2023-05-01,2312546,29019445,Under
Nice,500000000,Teddy Bear,Twinkle Cookie,100000000.0,2023-05-08,3151414,32170859,Under
Nice,500000000,Teddy Bear,Twinkle Cookie,100000000.0,2023-05-15,1515406,33686265,Under
Nice,500000000,Teddy Bear,Twinkle Cookie,100000000.0,2023-05-22,417381,34103646,Under
Nice,500000000,Teddy Bear,Twinkle Cookie,100000000.0,2023-05-29,4107767,38211413,Under
Nice,500000000,Teddy Bear,Twinkle Cookie,100000000.0,2023-06-05,4656837,42868250,Under
Nice,500000000,Teddy Bear,Twinkle Cookie,100000000.0,2023-06-12,118175,42986425,Under
Nice,500000000,Teddy Bear,Twinkle Cookie,100000000.0,2023-06-19,2188201,45174626,Under
Nice,500000000,Teddy Bear,Twinkle Cookie,100000000.0,2023-06-26,82068,45256694,Under
Nice,500000000,Teddy Bear,Twinkle Cookie,100000000.0,2023-07-03,1088646,46345340,Under
Nice,500000000,Teddy Bear,Twinkle Cookie,100000000.0,2023-07-10,3970735,50316075,Under
Nice,500000000,Teddy Bear,Twinkle Cookie,100000000.0,2023-07-17,1493942,51810017,Under
Nice,500000000,Teddy Bear,Twinkle Cookie,100000000.0,2023-07-24,959191,52769208,Under
Nice,500000000,Teddy Bear,Twinkle Cookie,100000000.0,2023-07-31,3069421,55838629,Under
Nice,500000000,Teddy Bear,Twinkle Cookie,100000000.0,2023-08-07,2736191,58574820,Under
Nice,500000000,Teddy Bear,Twinkle Cookie,100000000.0,2023-08-14,2860126,61434946,Under
Nice,500000000,Teddy Bear,Twinkle Cookie,100000000.0,2023-08-21,2003069,63438015,Under
Nice,500000000,Teddy Bear,Twinkle Cookie,100000000.0,2023-08-28,1370522,64808537,Under
Nice,500000000,Teddy Bear,Twinkle Cookie,100000000.0,2023-09-04,2085553,66894090,Under
Nice,500000000,Teddy Bear,Twinkle Cookie,100000000.0,2023-09-11,1709026,68603116,Under
Nice,500000000,Teddy Bear,Twinkle Cookie,100000000.0,2023-09-18,2736498,71339614,Under
Nice,500000000,Teddy Bear,Twinkle Cookie,100000000.0,2023-09-25,4177828,75517442,Under
Nice,500000000,Teddy Bear,Twinkle Cookie,100000000.0,2023-10-02,897337,76414779,Under
Nice,500000000,Teddy Bear,Twinkle Cookie,100000000.0,2023-10-09,489257,76904036,Under
Nice,500000000,Teddy Bear,Twinkle Cookie,100000000.0,2023-10-16,2674701,79578737,Under
Nice,500000000,Teddy Bear,Twinkle Cookie,100000000.0,2023-10-23,1750638,81329375,Under
Nice,500000000,Teddy Bear,Twinkle Cookie,100000000.0,2023-10-30,1742067,83071442,Under
Nice,500000000,Teddy Bear,Twinkle Cookie,100000000.0,2023-11-06,875247,83946689,Under
Nice,500000000,Teddy Bear,Twinkle Cookie,100000000.0,2023-11-13,2711046,86657735,Under
Nice,500000000,Teddy Bear,Twinkle Cookie,100000000.0,2023-11-20,1021898,87679633,Under
Nice,500000000,Teddy Bear,Twinkle Cookie,100000000.0,2023-11-27,1250357,88929990,Under
Nice,500000000,Teddy Bear,Twinkle Cookie,100000000.0,2023-12-04,2074912,91004902,Under
Nice,500000000,Teddy Bear,Twinkle Cookie,100000000.0,2023-12-11,133653,91138555,Under
Nice,500000000,Teddy Bear,Twinkle Cookie,100000000.0,2023-12-18,3736803,94875358,Under
